route_id,airline_icao,dep_airport_iata,arr_airport_iata,cabin_class,base_price_usd,taxes_usd,total_price_usd,currency,effective_from,effective_to,fare_code
R10529,VOI,MLM,SMF,Business,849.78,137.66,987.44,USD,2025-05-01,2025-08-31,J582
R10614,VOI,PVR,TIJ,Economy,202.47,38.86,241.33,USD,2025-05-01,2025-08-31,Y534
R10196,AXM,KUL,BDJ,Economy,184.34,29.51,213.85,USD,2025-05-01,2025-08-31,Y175
R10528,VOI,MLM,SMF,Economy,304.88,49.18,354.06,USD,2025-05-01,2025-08-31,Y308
R10477,VOI,CUN,TLC,Business,559.09,67.75,626.84,USD,2025-05-01,2025-08-31,J315
R10049,AXM,KUL,MNL,Business,867.95,138.35,1006.3,USD,2025-05-01,2025-08-31,J259
R10233,AXM,KUL,SZX,Business,705.71,84.82,790.53,USD,2025-05-01,2025-08-31,J218
R10275,AXM,PEN,SIN,Business,220.71,35.26,255.97,USD,2025-05-01,2025-08-31,J544
R10270,AXM,KUL,CGK,Economy,121.63,15.57,137.2,USD,2025-05-01,2025-08-31,Y436
R10086,AXM,HKG,KUL,Economy,261.58,40.92,302.5,USD,2025-05-01,2025-08-31,Y171
R10123,AXM,KUL,TRZ,Business,629.85,83.89,713.74,USD,2025-05-01,2025-08-31,J438
R10210,AXM,KUL,PEN,Economy,60.28,11.47,71.75,USD,2025-05-01,2025-08-31,Y564
R11146,LNI,PLM,CGK,Economy,46.35,7.49,53.84,USD,2025-05-01,2025-08-31,Y704
R10610,VOI,MIA,MEX,Economy,236.24,43.79,280.03,USD,2025-05-01,2025-08-31,Y456
R11285,LNI,PNK,CGK,Economy,81.35,9.93,91.28,USD,2025-09-01,2025-12-31,Y491
R10596,VOI,SLP,CUN,Economy,188.56,31.84,220.4,USD,2025-05-01,2025-08-31,Y622
R11006,LNI,DPS,BDJ,Economy,74.78,13.66,88.44,USD,2025-05-01,2025-08-31,Y954
R10806,VOI,SAT,GDL,Economy,154.89,30.36,185.25,USD,2025-05-01,2025-08-31,Y551
R10128,AXM,MAA,KUL,Economy,214.21,33.24,247.45,USD,2025-05-01,2025-08-31,Y871
R10316,AXM,SGN,BKI,Economy,142.68,30.54,173.22,USD,2025-05-01,2025-08-31,Y210
R11257,EVA,SIN,LAX,Economy,2147.14,365.62,2512.76,USD,2025-05-01,2025-08-31,Y396
R10462,VOI,AGU,TIJ,Economy,186.93,31.14,218.07,USD,2025-05-01,2025-08-31,Y629
R10534,VOI,GDL,SJC,Economy,324.09,49.99,374.08,USD,2025-05-01,2025-08-31,Y462
R11167,LNI,BDJ,YIA,Business,198.85,32.63,231.48,USD,2025-05-01,2025-08-31,J558
R10411,VOI,MEX,IAH,Business,387.71,64.53,452.24,USD,2025-05-01,2025-08-31,J801
R10523,VOI,CUN,BJX,Business,629.6,92.35,721.95,USD,2025-05-01,2025-08-31,J274
R11024,LNI,SUB,KDI,Economy,112.16,16.95,129.11,USD,2025-05-01,2025-08-31,Y963
R11284,LNI,PGK,CGK,Business,147.29,22.16,169.45,USD,2025-09-01,2025-12-31,J921
R10745,VOI,MEX,LMM,Business,508.53,56.52,565.05,USD,2025-05-01,2025-08-31,J410
R10029,AXM,CXR,KUL,Business,354.89,49.77,404.66,USD,2025-05-01,2025-08-31,J973
R11040,LNI,UPG,TIM,Economy,168.21,24.25,192.46,USD,2025-05-01,2025-08-31,Y600
R10583,VOI,MTY,BJX,Business,285.47,44.31,329.78,USD,2025-05-01,2025-08-31,J754
R10031,AXM,PVG,BKI,Business,711.89,81.77,793.66,USD,2025-05-01,2025-08-31,J709
R10339,AXM,KUL,BTJ,Business,314.16,37.27,351.43,USD,2025-05-01,2025-08-31,J892
R10778,VOI,MEX,PVR,Economy,105.77,21.11,126.88,USD,2025-05-01,2025-08-31,Y691
R10247,AXM,CMB,KUL,Business,721.86,96.18,818.04,USD,2025-05-01,2025-08-31,J594
R11149,LNI,CGK,KOE,Business,417.67,70.59,488.26,USD,2025-05-01,2025-08-31,J958
R10070,AXM,MYY,JHB,Economy,116.08,22.07,138.15,USD,2025-05-01,2025-08-31,Y491
R10780,VOI,MTY,DEN,Economy,183.54,25.64,209.18,USD,2025-05-01,2025-08-31,Y216
R10240,AXM,NNG,KUL,Economy,223.64,42.45,266.09,USD,2025-05-01,2025-08-31,Y224
R10363,VOI,SJD,TLC,Business,520.7,56.28,576.98,USD,2025-05-01,2025-08-31,J889
R10428,VOI,TIJ,MTY,Economy,197.3,29.51,226.81,USD,2025-05-01,2025-08-31,Y556
R10277,AXM,PEN,JHB,Business,274.0,37.13,311.13,USD,2025-05-01,2025-08-31,J810
R10380,VOI,HMO,MEX,Economy,204.8,35.14,239.94,USD,2025-05-01,2025-08-31,Y227
R10605,VOI,TPQ,TIJ,Business,843.97,136.32,980.29,USD,2025-05-01,2025-08-31,J884
R10351,VOI,OAK,MEX,Business,1091.78,138.29,1230.07,USD,2025-05-01,2025-08-31,J696
R10890,VOI,MLM,MXL,Economy,225.23,40.74,265.97,USD,2025-05-01,2025-08-31,Y416
R10048,AXM,KUL,MNL,Economy,277.94,37.09,315.03,USD,2025-05-01,2025-08-31,Y218
R10113,AXM,BKI,KHH,Business,616.83,105.67,722.5,USD,2025-05-01,2025-08-31,J727
R10155,AXM,LGK,KUL,Business,190.61,31.73,222.34,USD,2025-05-01,2025-08-31,J348
R10192,AXM,SBW,KUL,Economy,132.7,25.91,158.61,USD,2025-05-01,2025-08-31,Y205
R10420,VOI,GDL,TLC,Economy,79.17,11.66,90.83,USD,2025-05-01,2025-08-31,Y918
R10998,LNI,MKQ,UPG,Economy,211.59,35.47,247.06,USD,2025-05-01,2025-08-31,Y180
R10976,LNI,CGK,YIA,Economy,46.76,9.77,56.53,USD,2025-05-01,2025-08-31,Y260
R10680,VOI,MEX,MCO,Economy,266.02,45.87,311.89,USD,2025-05-01,2025-08-31,Y346
R11288,LNI,JED,UPG,Business,2279.46,298.77,2578.23,USD,2025-09-01,2025-12-31,J284
R10893,VOI,NLU,SJD,Business,326.21,45.58,371.79,USD,2025-05-01,2025-08-31,J455
R10409,VOI,TIJ,CUN,Business,1086.59,174.43,1261.02,USD,2025-05-01,2025-08-31,J236
R10107,AXM,KUL,CNX,Business,527.88,89.12,617.0,USD,2025-05-01,2025-08-31,J209
R10471,VOI,RNO,GDL,Business,674.1,83.74,757.84,USD,2025-05-01,2025-08-31,J646
R11240,AAL,SEA,DFW,Economy,333.89,48.09,381.98,USD,2025-05-01,2025-08-31,Y757
R11041,LNI,UPG,TIM,Business,490.47,56.01,546.48,USD,2025-05-01,2025-08-31,J991
R10693,VOI,MXL,GDL,Business,593.01,81.86,674.87,USD,2025-05-01,2025-08-31,J147
R11233,DAL,JFK,LHR,Economy,761.6,128.75,890.35,USD,2025-05-01,2025-08-31,Y686
R11197,LNI,BPN,LOP,Business,221.9,31.14,253.04,USD,2025-05-01,2025-08-31,J493
R10265,AXM,KUL,CAN,Business,693.23,117.8,811.03,USD,2025-05-01,2025-08-31,J550
R10842,VOI,MTY,QRO,Economy,82.07,15.5,97.57,USD,2025-05-01,2025-08-31,Y235
R11118,LNI,BPN,SUB,Economy,83.85,12.59,96.44,USD,2025-05-01,2025-08-31,Y777
R10422,VOI,TIJ,ACA,Economy,267.78,57.75,325.53,USD,2025-05-01,2025-08-31,Y447
R10950,LNI,TKG,CGK,Economy,39.22,5.58,44.8,USD,2025-05-01,2025-08-31,Y703
R10221,AXM,KUL,HYD,Business,850.66,126.15,976.81,USD,2025-05-01,2025-08-31,J126
R10405,VOI,TIJ,LAP,Business,525.01,54.33,579.34,USD,2025-05-01,2025-08-31,J496
R10168,AXM,PEN,KUL,Economy,62.55,8.05,70.6,USD,2025-05-01,2025-08-31,Y561
R10482,VOI,CUN,NLU,Economy,147.86,18.82,166.68,USD,2025-05-01,2025-08-31,Y161
R10670,VOI,DEN,MTY,Economy,163.74,19.75,183.49,USD,2025-05-01,2025-08-31,Y240
R11085,LNI,CGK,PLM,Business,123.74,12.91,136.65,USD,2025-05-01,2025-08-31,J974
R10429,VOI,TIJ,MTY,Business,576.48,77.3,653.78,USD,2025-05-01,2025-08-31,J806
R11099,LNI,YIA,BPN,Business,314.03,47.15,361.18,USD,2025-05-01,2025-08-31,J354
R10542,VOI,MTY,TGZ,Economy,145.46,19.23,164.69,USD,2025-05-01,2025-08-31,Y792
R10174,AXM,LOP,KUL,Economy,209.88,36.03,245.91,USD,2025-05-01,2025-08-31,Y295
R11023,LNI,DPS,ICN,Business,1059.27,107.64,1166.91,USD,2025-05-01,2025-08-31,J937
R10494,VOI,MTY,MLM,Economy,115.82,19.31,135.13,USD,2025-05-01,2025-08-31,Y415
R10969,LNI,MDC,DJJ,Business,401.25,42.49,443.74,USD,2025-05-01,2025-08-31,J966
R10438,VOI,TRC,TIJ,Economy,174.58,37.53,212.11,USD,2025-05-01,2025-08-31,Y133
R10054,AXM,PEN,KNO,Economy,45.57,5.48,51.05,USD,2025-05-01,2025-08-31,Y889
R10208,AXM,SZB,KCH,Economy,95.74,15.8,111.54,USD,2025-05-01,2025-08-31,Y708
R10303,AXM,BKI,TPE,Business,563.73,62.3,626.03,USD,2025-05-01,2025-08-31,J402
R10377,VOI,SJD,OAK,Business,705.41,115.76,821.17,USD,2025-05-01,2025-08-31,J241
R10056,AXM,KUL,PQC,Economy,110.92,19.43,130.35,USD,2025-05-01,2025-08-31,Y537
R10695,VOI,MEX,LIM,Business,1584.13,229.83,1813.96,USD,2025-05-01,2025-08-31,J133
R10163,AXM,KUL,PDG,Business,210.82,23.66,234.48,USD,2025-05-01,2025-08-31,J280
R10109,AXM,AMD,KUL,Business,1250.06,176.8,1426.86,USD,2025-05-01,2025-08-31,J151
R10497,VOI,TRC,GDL,Business,261.17,27.13,288.3,USD,2025-05-01,2025-08-31,J388
R10665,VOI,GDL,MCO,Business,864.39,137.11,1001.5,USD,2025-05-01,2025-08-31,J460
R10348,AXM,MFM,KUL,Economy,234.0,41.97,275.97,USD,2025-05-01,2025-08-31,Y562
R10770,VOI,MDW,BJX,Economy,253.76,50.75,304.51,USD,2025-05-01,2025-08-31,Y858
R11072,LNI,UPG,PLW,Economy,54.75,11.72,66.47,USD,2025-05-01,2025-08-31,Y467
R10746,VOI,MEX,GDL,Economy,73.1,13.59,86.69,USD,2025-05-01,2025-08-31,Y832
R10259,AXM,BKI,SIN,Business,493.48,58.57,552.05,USD,2025-05-01,2025-08-31,J894
R11293,AXM,SBW,KCH,First,247.29,34.62,281.91,USD,2025-05-01,2025-08-31,F918
R11210,LNI,KOE,DPS,Economy,95.66,17.93,113.59,USD,2025-05-01,2025-08-31,Y961
R11062,LNI,BPN,UPG,Economy,54.65,10.14,64.79,USD,2025-05-01,2025-08-31,Y767
R11242,AAL,SIN,LAX,Economy,1588.63,317.12,1905.75,USD,2025-05-01,2025-08-31,Y216
R10714,VOI,MTY,CUL,Economy,102.89,13.29,116.18,USD,2025-05-01,2025-08-31,Y415
R10526,VOI,LAP,GDL,Economy,105.49,18.7,124.19,USD,2025-05-01,2025-08-31,Y817
R10796,VOI,TIJ,NLU,Economy,230.32,36.48,266.8,USD,2025-05-01,2025-08-31,Y675
R11008,LNI,BPN,DPS,Economy,94.14,11.93,106.07,USD,2025-05-01,2025-08-31,Y497
R11084,LNI,CGK,PLM,Economy,45.68,8.59,54.27,USD,2025-05-01,2025-08-31,Y642
R10970,LNI,KNO,SUB,Economy,137.69,16.8,154.49,USD,2025-05-01,2025-08-31,Y367
R10551,VOI,BJX,ONT,Business,776.75,110.67,887.42,USD,2025-05-01,2025-08-31,J753
R10493,VOI,GDL,SAT,Business,428.28,68.97,497.25,USD,2025-05-01,2025-08-31,J610
R10581,VOI,ORD,MEX,Business,733.71,91.38,825.09,USD,2025-05-01,2025-08-31,J515
R10783,VOI,TGZ,TIJ,Business,1092.08,160.49,1252.57,USD,2025-05-01,2025-08-31,J456
R10922,LNI,TIM,DJJ,Economy,46.39,8.34,54.73,USD,2025-05-01,2025-08-31,Y130
R10381,VOI,HMO,MEX,Business,552.87,89.04,641.91,USD,2025-05-01,2025-08-31,J379
R10552,VOI,SJD,GDL,Economy,96.12,12.5,108.62,USD,2025-05-01,2025-08-31,Y438
R10857,VOI,GDL,LAS,Business,647.79,98.03,745.82,USD,2025-05-01,2025-08-31,J793
R10711,VOI,SEA,GDL,Business,1081.72,169.88,1251.6,USD,2025-05-01,2025-08-31,J184
R10873,VOI,GDL,MXL,Business,612.76,64.76,677.52,USD,2025-05-01,2025-08-31,J112
R10170,AXM,JHB,CAN,Economy,269.46,41.4,310.86,USD,2025-05-01,2025-08-31,Y606
R10413,VOI,PVR,MTY,Business,285.91,31.68,317.59,USD,2025-05-01,2025-08-31,J833
R10839,VOI,ZIH,TIJ,Business,612.55,91.94,704.49,USD,2025-05-01,2025-08-31,J956
R10289,AXM,MYY,KCH,Business,251.13,34.29,285.42,USD,2025-05-01,2025-08-31,J409
R10382,VOI,OAK,ZCL,Economy,270.79,46.4,317.19,USD,2025-05-01,2025-08-31,Y950
R10850,VOI,MZT,TIJ,Economy,156.94,22.38,179.32,USD,2025-05-01,2025-08-31,Y796
R10209,AXM,SZB,KCH,Business,270.84,27.79,298.63,USD,2025-05-01,2025-08-31,J395
R10676,VOI,ONT,BJX,Economy,235.63,28.67,264.3,USD,2025-05-01,2025-08-31,Y839
R10297,AXM,KUL,CCU,Business,840.45,99.52,939.97,USD,2025-05-01,2025-08-31,J921
R10140,AXM,LGK,SIN,Economy,86.0,16.87,102.87,USD,2025-05-01,2025-08-31,Y488
R10872,VOI,GDL,MXL,Economy,207.95,27.3,235.25,USD,2025-05-01,2025-08-31,Y611
R10908,VOI,CUU,GDL,Economy,136.9,22.17,159.07,USD,2025-05-01,2025-08-31,Y429
R11245,AAL,NRT,LAX,Economy,981.82,181.79,1163.61,USD,2025-05-01,2025-08-31,Y428
R10723,VOI,MIA,GDL,Business,872.29,135.05,1007.34,USD,2025-05-01,2025-08-31,J273
R11022,LNI,DPS,ICN,Economy,338.65,56.73,395.38,USD,2025-05-01,2025-08-31,Y375
R11185,LNI,SUB,JED,Business,1625.47,283.51,1908.98,USD,2025-05-01,2025-08-31,J502
R10707,VOI,LMM,MXL,Business,368.93,60.02,428.95,USD,2025-05-01,2025-08-31,J561
R10199,AXM,PER,KUL,Business,874.45,104.81,979.26,USD,2025-05-01,2025-08-31,J671
R10671,VOI,DEN,MTY,Business,505.92,59.96,565.88,USD,2025-05-01,2025-08-31,J824
R11202,LNI,DPS,SUB,Economy,44.04,9.0,53.04,USD,2025-05-01,2025-08-31,Y660
R11049,LNI,YIA,TRK,Business,412.3,66.55,478.85,USD,2025-05-01,2025-08-31,J109
R10010,AXM,BKI,HGH,Economy,258.86,42.03,300.89,USD,2025-05-01,2025-08-31,Y578
R10147,AXM,KUL,PNK,Business,258.11,35.59,293.7,USD,2025-05-01,2025-08-31,J217
R10869,VOI,JFK,GDL,Business,872.31,123.36,995.67,USD,2025-05-01,2025-08-31,J621
R10522,VOI,CUN,BJX,Economy,209.52,37.26,246.78,USD,2025-05-01,2025-08-31,Y333
R10809,VOI,SJC,BJX,Business,857.69,154.34,1012.03,USD,2025-05-01,2025-08-31,J560
